ISBN,book_title,genre
1841194689,A Brief History of the Druids (Brief Histories S.),Druids and Druidism|Celts--Religion|Religion
0890876096,So Little Time: Essays on Gay Life,Social Sciences|Gay & Lesbian Studies
0465003109,The Sword and the Shield: The Mitrokhin Archive and the Secret History of the KGB,HistorySoviet Union. Komitet gosudarstvennoĭ bezopasnosti|Intelligence service--History|Intelligence service--Soviet Union--History|Secret service--History|Secret service--Soviet Union--History|Foreign relations
0316713317,The Killers Within: The Deadly Rise of Drug Resistant Bacteria,Drug Resistance|Drug resistance in microorganisms|Drug resistance in microorganisms--Popular works
0373119178,"Gold Ring Of Betrayal (Top Author) (Harlequin Presents, No 1917)",Fiction|Romance
067984743X,"Jellybean Principal (Step into Reading, Step 3, paper)",Children's Fiction|School & Education
031226125X,The Beach Club,Fiction|General
043925325X,"City of the Rats (Deltora Quest, No 3)",Children's Fiction|Science Fiction|Fantasy|Magic
074974801X,The Magic Faraway Tree,Literary Collections
0877881243,Clare (Northcote Books),Fiction|History
185566089X,A Companion to Catalan Literature (Monografas A),Literary Criticism|European
081560422X,Ecstatic Confessions: The Heart of Mysticism (Martin Buber Library),Mysticism - General & Miscellaneous|Emotions - Psychology|Characteristics & Qualities - Self-Improvement
0803233019,Black Elk Speaks: Being the Life Story of a Holy Man of the Oglala Sioux,Oglala Indians|Oglala Indians--Biography|Oglala Indians--Religion and mythology|Lakota Indians|Indians of North America|Indians of North America--Great Plains--Biography|Indian mythology|Indian mythology--Great Plains|Indians of North America--Religion|Indians of North America--Great Plains--Religion
0679431519,Explaining Hitler: The Search for the Origins of His Evil,National socialism|Social conditions|Politics and government
0816621128,The Murmuring Coast (Emergent Literatures),
843206999X,La AtlÃ¡ntida (ClÃ¡sicos universales Planeta),Literary Collections
0671039512,Liar,Fear|Interpersonal Relations|Teenage Girls|Loss (psychology)
0866225293,Canaries As a New Pet (As a New Pet Series),Canaries
0822053020,Cliffsquickreview Algebra 1 (Cliff's Quick Review),Mathematics|Algebra
0670859761,Hatchepsut: The Female Pharaoh,Hatshepsut|Queens|Queens--Egypt--Biography|History
0449206513,Bridges at Toko Ri,Fiction
068983084X,Greater Than Angels,Children's Fiction|Historical
0802401864,"Ultimate Priority: John Macarthur, Jr. on Worship",Religion|Christianity
039495551X,J.W.ANGLUND XMAS BOOK,Literary Collections
0441225497,Face of Chaos Thieves World #5,Comics &amp; Graphic Novels|Graphic Novels
843970206X,34 poemas,European Poetry
0954049950,The Peters World Atlas,Peters projection (Cartography)|Atlases|Atlases--Great Britain
0140062793,The Gate of Heavenly Peace: The Chinese and Their Revolution 1895-1980,History
0787910635,Leading Without Power : Finding Hope in Serving Community,Voluntarism|Voluntarism--United States|Nonprofit organizations|Nonprofit organizations--United States|Community development|Community development--United States
055357860X,Justice at Risk: A Benjamin Justice Mystery,Fiction|Mystery & Detective
1565847016,Unexpected Chicagoland,U.S.A. - Midwest & Great Plains Architecture|U.S. Travel Photography - General & Miscellaneous
0140047433,The Lives of a Cell: Notes of a Biology Watcher,Biology|Philosophy
0345402030,Murder in the Air (Sophie Greenway Mystery),Detective Fiction|Cozy Mysteries & Amateur Sleuths|Women Detectives - Fiction
002588591X,Millwrights and Mechanics Guide,Mechanical Engineering - General & Miscellaneous|Technology - Reference
014039074X,The Souls of Black Folk (Penguin Classics),Social Sciences|Ethnic Studies
068809368X,The First Man in Rome,Fiction|Historical
081183140X,Alexandria: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Unfolds,Fiction|General
0773730486,The demonic comedy: Some detours in the Baghdad of Saddam Hussein,"JourneysRoberts, Paul William|Description and travel|Descriptions et voyages"
0375422501,There Are Jews in My House : Stories,Jews|Jews--United States--Fiction|Jews--Russia (Federation)--Fiction|Jews--Russia--Fiction|Jewish fiction|Social life and customs
0415129877,The French-Speaking World: A Practical Introduction to Sociolinguistic Issues (Routledge Language in Society),French language--Social aspects|French language--Social aspects--Foreign countries|French language--Social aspects--France|Sociolinguistics
0876631065,Kitsch; the world of bad taste,Kitsch
0874775388,Spiritual Emergency: When Personal Transformation Becomes a Crisis (New Consciousness Reader),Spiritual life|Psychiatric emergencies
0743257480,Hidden : A Novel,Married women|Married women--Fiction|Victims of violent crimes|Victims of violent crimes--Fiction|Psychological fiction
188939212X,"Toddler Bargains: Secrets to Saving 20% to 50% on Toddler Furniture, Clothing, Shoes, Travel Gear, Toys, and More (Toddler Bargains)",Family &amp; Relationships|Child Care
1563335883,Wank: The Tapes,Gay men--Social life and customs|Gay men--United States--Social life and customs|Homosexuality|Homosexuality--United States
0395331137,Surviving Exercise: Judy Alter's Safe and Sane Exercise Program,Exercise|Safety Measures
0832605522,Polish cookbook (Adventures in cooking series),"Cooking, Polish"
0374106843,August 1914,
037310345X,Dark Dominion,Literary Collections
0684868865,Boone'S Lick,Fiction|Historical
0764107585,Communicating With Your Dog: A Humane Approach to Dog Training,Dogs - Training|Pets - General & Miscellaneous|Dogs - General & Miscellaneous|Animals - Habitats & Behaviors - General & Miscellaneous
0312867069,Operation Luna,
067974472X,The Fire Next Time,American Essays|African American History - Social Aspects|United States - Ethnic & Race Relations|African Americans - General & Miscellaneous|Social Sciences - General & Miscellaneous|African Americans - Social Conditions
0373162391,"Cinderella Dare (Harlequin American Romance, No 239)",Educators|Educators--California--Fiction
0534400868,Sustaining the Earth : An Integrated Approach (with CD-ROM and InfoTrac),Environmental Sciences|Environmental Protection
0061052248,Peter S. Beagle's Immortal Unicorn,"Unicorns|Fiction|Fantasy Fiction, American"
0312083319,The Venerable Bead,Women lawyers--Fiction
0307157768,"Joe Kaufman's Slimy, Creepy, Crawly Creatures",Animals|Miscellanea|Juvenile Literature
0821750976,Shades of Night,Literary Collections
0002251930,Way Beyond Therapy (Peanuts at Work and Play),Characters - Cartoons & Comic Strips|Psychology & Self Help - Humor
0921149921,Sir Gawain and the Green Knight: Middle English Text With Facing Translation (Broadview Literary Texts),Gawain|Gawain (Legendary character)--Romances
157036365X,No Holds Barred: The Strange Life of John E. Du Pont,Murder - General & Miscellaneous|Murderers|Suspects & Victims - Biography
088448033X,From the orange mailbox: Notes from a few country acres,Literary Collections
2070754790,Aux fruits de la passion: Roman,French fiction
0316655708,Honeymoon: A Romantic Rampage,Honeymoons|Honeymoons--Fiction|Young women|Young women--Fiction|First loves|First loves--Fiction
014037616X,Dear Anne Frank,Education|General
0385300441,Why I Left Harry's All-Night Hamburgers: And Other Stories from Isaac Asimov's Science Fiction Magazine,"Science Fiction, American|Science Fiction|Short Stories"
0140235507,"Boots of Leather, Slippers of Gold: The History of a Lesbian Community",Lesbians--History|Lesbians--Social conditions|Lesbians--New York (State)--Buffalo--Social conditions|Working class--History|Women's studies|Women's studies--New York (State)--Buffalo|History
0140092188,Rooms of Their Own,"Women Authors, Australian|Interviews|Australian Fiction|Women Authors|History And Criticism|Women And Literature|History|Authors, Australian|Intellectual Life"
0971060908,Following the Milky Way: A Pilgrimage on the Camino De Santiago,Spain - Travel|Spain - Travel Essays & Descriptions|Europe - General & Miscellaneous - Travel Essays & Descriptions
047112351X,College Online: How to Take College Courses Without Leaving Home,Computer Reference & Documentation|Teaching & Teacher Training|Educational Levels & Settings
1574881736,The Road to Victory: The Untold Story of World War Ii's Red Ball Express,
081420256X,French and Italian Notebooks (Centenary Edition of the Works of Nathaniel Hawthorne),Literary Criticism|American
041318160X,Plays (Methuen Paperback),Drama
082176537X,Lord Stanhope's Proposal (A Zebra Regency Romance),Fiction|General
031410125X,Federal Civil Judicial Procedure and Rules,Literary Collections
0932499058,Inside the White Cube: The Ideology of the Gallery Space,"Space (Art)|Installations (Art)|Environment (Art)|Art, Modern|Art museums--Buildings--Philosophy|Art--Exhibition techniques|Modernism (Art)"
0517696193,Unabridged Marilyn : Her Life Fr,Motion picture actors and actresses--Biography|Motion picture actors and actresses--United States--Biography--Dictionaries
039951936X,100 Things I'm Not Going to Do Now That I'm over 50,Middle Age|Men|Women & Relationships - Humor|Phases of Life - Humor
037311785X,"Last Stop Marriage (Top Author) (Harlequin Presents, No 1785)",Literary Collections
0195151232,"Magic, Witchcraft, and Ghosts in the Greek and Roman Worlds: A Sourcebook",Body|Mind &amp; Spirit|Witchcraft & Wicca
042516408X,Death of a Blue Lantern,Fiction|Mystery & Detective
0373612125,Deathbites,Literary Collections
084395132X,The Falcon &amp; the Dove,Fiction|Romance
0843127171,"Curse of Peredur (Dragonfire, No. 3)",Dragons|Fantasy
067003083X,Joseph Smith (Penguin Lives),Mormons - Christian Biography|Utah - State & Local History|Mormonism - General & Miscellaneous
067187246X,STRESS AND MARRIAGE : Reporting from a Militant Middle East,Marriage|Psychological Self-Help - General & Miscellaneous|Stress & Anxiety Management - Self-Help|Marriage - Psychological Aspects
1555971148,"The Graywolf Annual Five : Multi-Cultural Literay, Opening the American Mind (Graywolf Annual)",Educational anthropology|Educational anthropology--United States|Multicultural education|Multicultural education--United States|Literacy|Literacy--United States|Cultural pluralism|Cultural pluralism--United States|American literature--Minority authors
0253215404,Rudy Pozzatti,Art|Graphic Arts
0812966538,A Higher Form of Killing: The Secret History of Chemical and Biological Warfare,Chemical warfare--History|Biological warfare--History|Chemical Warfare--history|Biological Warfare--history
0761535675,Positive Discipline for Childcare Providers: A Practical Effective Plan for Every Preschool and Daycare Program (Positive Discipline),Day Care Centers|Discipline Of Children
1556610130,"The Nature of Holiness (Wesley, John, Wesley Library for Today's Reader.)","Methodist Church--Sermons|Holiness--Sermons|Sermons, English"
0671223380,LOVERS TYRANTS,Women journalists|Women journalists--United States--Fiction|Women journalists--France--Fiction|Women journalists--Fiction
044040438X,Nate the Great Goes Down in the Dumps,Children's Fiction|Mysteries & Detective Stories
067144171X,SOULS ON FIRE,Biographies &amp; Autobiographies|General
0140101950,Rotten Reviews: A Literary Companion,Books|Books--Reviews|Best books|Best books--English-speaking countries|Books and reading|Books and reading--English-speaking countries|English literature|English literature--Book reviews|American literature|American literature--Book reviews|Canon (Literature)
000648381X,MR. LANDEN HAS NO BRAIN,Literary Collections
8423978311,Las mujeres de Juanito MarÃ©s,
0396088635,By the Pricking of My Thumb (Winterbrook Edition),"Beresford, Tommy (Fictitious character)|Beresford, Tommy (Fictitious character)--Fiction|Beresford, Tuppence (Fictitious character)|Beresford, Tuppence (Fictitious character)--Fiction|Private investigators|Private investigators--England--Fiction|Married people|Married people--Fiction"
0870031279,Yeltsin's Russia: Myths and Reality,Politics and government
067179955X,The Big Three,Sports &amp; Recreation|General
8836807356,Angeli,
156971357X,Blade of the Immortal: Dreamsong,Fiction|Action & Adventure
067101000X,All Other Things I Really Need to Know I Learned Watching Star Trek: Next Gener. (Star Trek: The Next Generation),Performing Arts|Television
0385096666,Crazy Horse and Custer: The Parallel Lives of Two American Warriors,Biographies &amp; Autobiographies|General
0938317288,"Keepers of the Earth (Hell Yes, Texas Women's Series)",Families|Families--Texas--Fiction
0871316021,Born in Blood: The Lost Secrets of Freemasonry,Social Sciences|Freemasonry
186368302X,The World Waiting to Be Made,Literary Criticism|General
0786865334,The Pirate Hunter: The True Story of Captain Kidd,Pirates|Pirates--New York (State)--Biography
0373033400,"Nutcracker Prince (Kids &amp; Kisses Christmas) (Harlequin Romance, No 3340)",Intelligence officers|Intelligence officers--Fiction|Families|Families--Fiction|Christmas stories|Spy stories
0385132573,Run for Your Life (A Dolphin book),Jogging|Physical Fitness
0877739455,"Mothers, Sons, and Lovers",Mothers and sons|Men--Psychology
0743219279,"The Prophets: Who They Were, What They Are","Criticism, interpretation, etc|Prophecy--Judaism"
0809244233,Barbie: 30 Years of America's Doll,Barbie dolls
0801330734,Creative Drama in the Classroom and Beyond (7th Edition),Language Arts & Disciplines
0671682296,Beatlesongs,Beatles.|Rock music--History and criticism|Rock music--England--History and criticism
0195135830,The Engines of Our Ingenuity: An Engineer Looks at Technology and Culture,Technology--Social aspects|Creative ability in technology
0525934634,Just Killing Time,Fiction|General
091610804X,Initiation,Body|Mind &amp; Spirit|General
0394923243,"The Berenstains' B Book (Bright and Early Books for Beginning Beginners, Be11)",Alphabet
0835607119,The Millennium Myth: Love and Death at the End of Time,"Eschatology|Eschatology in literature|Future, The, in popular culture|Sex in popular culture--Forecasting"
0941483088,Cherished Love,
0060163364,Peril and Promise: A Commentary on America,Business &amp; Economics|Economic History
006109336X,Elvis Aaron Presley: Revelations from the Memphis Mafia,Music|General
0741416956,Incident at Roan High Bluff,Literary Collections
0345425286,News Is a Verb: Journalism at the End of the Twentieth Century (Library of Contemporary Thought),Journalism--History
073560505X,Code: Hidden Language of Computer Hardware and Software,Computers &amp; the Internet|Computer Science
0590466909,Be Mine,Teen Fiction - Horror & Suspense
0312080735,The Dead (Case Studies in Contemporary Criticism),
0380973022,Moonrise,Fiction|Science Fiction
039441392X,The Hite Report on Male Sexuality,Psychology &amp; Psychiatry|General
0312301448,The Coil : A Novel,Intelligence service|Intelligence service--Fiction|Fathers--Death|Fathers--Death--Fiction|Conspiracies|Conspiracies--Fiction|Women spies|Women spies--Fiction|Extortion|Extortion--Fiction|Assassins|Assassins--Fiction|Cold War|Cold War--Fiction
0571081649,The Horse in the Furrow,Suffolk horse|Draft horses|Draft horses--England--Suffolk|Farm life|Farm life--England--Suffolk|Folklore|Folklore--England--Suffolk|Social life and customs
0330376446,The Dam Busters (Pan Grand Strategy S.),
0517093308,"Simon Brett: Four Complete Mysteries : An Amateur Corpse : Star Trap : So Much Blood : Cast, in Order of Disappearance",Fiction|Mystery & Detective
0373029136,Clouded Paradise,Commercial real estate|Commercial real estate--Caribbean Area--Fiction|Squatters|Squatters--Fiction
0333555813,The Complete Homeopathy Handbook: A Guide to Everyday Health Care,Medical|Alternative Medicine
0312064845,Uncle John's Fourth Bathroom Reader,American Wit And Humor
078625632X,Seeing Pink (Five Star First Edition Women's Fiction Series),Fiction|Mystery & Detective
0892817585,Moksha: Aldous Huxley's Classic Writings on Psychedelics and the Visionary Experience,Hallucinogenic Drugs|Psychological Aspects|Hallucinogenic Drugs And Religious Experience
0140430997,The Life of Charlotte Bronte (Penguin English Library),"Novelists, English"
0883965410,The Language of Positive Thinking: A Blue Mountain Arts Collection (More Titles to Encourage Dreams),"Self-actualization (psychology)|Quotations, Maxims, Etc|Optimism|Motivation (psychology)"
157954519X,"Ain't Misbehavin: The Groundbreaking Program for Happy, Well-Behaved Pets and Their People",Pets|Cats
082890491X,The book of heat: A four-season guide to wood and coal heating,Architecture
0945397518,Strange Stories of Alaska and the Yukon,Legends|Legends--Alaska|Legends--Yukon Territory|Curiosities and wonders|Curiosities and wonders--Alaska|Curiosities and wonders--Yukon Territory
0813017173,Kick Ass: Selected Columns of Carl Hiaasen,"Hiaasen, Carl|Political corruption|Political corruption--Florida|Politics and government|Social conditions|Environmental conditions"
0224025945,Three Uneasy Pieces,"Short stories, Australian"
0152273220,Black Horses for the King,Juvenile Fiction|Fiction|Horses|History
0684801167,"You Mean I'm Not Lazy, Stupid or Crazy?! : A Self-Help Book for Adults with Attention Deficit Disorder",Attention-deficit disorder in adults|Attention-deficit disorder in adults--Popular works|Attention Deficit Disorder with Hyperactivity|Learning disorders
0593049233,Dancing With Minnie the Twig,Social life and customs
8408033700,Melocotones Helados (Autores Espa~noles E Iberoamericanos),Families|Families--Fiction|Interpersonal relations|Interpersonal relations--Fiction|Literatura españolaNovelaSiglo XX.|Novela españolaSiglo XX.
059071449X,The Craft of Children's Writing (Bright Idea),Children's Non-Fiction|Crafts & Hobbies
0688167128,Things You Should Know : A Collection of Stories,Social life and customs
3518389874,Das Land ohne Eigenschaften. Essay zur Ã?Â¶sterreichischen IdentitÃ?Â¤t.,"National characteristics, Austrian|Politics and government|History|Civilization"
0684802058,"Dead By Sunset : Perfect Husband, Perfect Killer?","Cunningham, Bradly Morris|Murder--Case studies|Murder--Oregon--Portland--Case studies|Uxoricide--Case studies|Uxoricide--Oregon--Portland--Case studies|Trials (Murder)--Case studies|Trials (Murder)--Oregon--Portland--Case studies"
0064406768,Selby Speaks: More Adventures of a Talking Dog,Dogs|Fiction|Humorous Stories
0821217143,Life : Classic Photographs : A Personal Interpretation,Photojournalism
0140506233,Little Tricker the Squirrel Meets Big Double the Bear (Picture Puffins Series),Animals|Fiction
055356854X,Invisible Darkness: The Strange Case of Paul Bernardo and Karla Homolka,Murder - General & Miscellaneous|Murderers|Suspects & Victims - Biography
080695843X,Dough Crafts,Pottery & Modelmaking
0505521415,Quicksilver (Futuristic Romance),Women Psychiatrists|Life On Other Planets
0394716531,The Last of the Wine,Fiction|Historical
0399145915,The Lion in the Room Next Door,"Autobiographical fiction, Canadian|Women|Women--Fiction"
051712405X,Bread Machine Baker,Cooking|Courses & Dishes
1551539713,Stolen Horses: Intriguing Tales of Rustling and Rescues,Horse Stealing|History|Chevaux|Vol|Histoire
1558740406,Perfect Daughters,Self-Help|Adult Children of Substance Abusers
2253062820,"Le Fleuve de l'Ã?Â©ternitÃ?Â©, tome 3 : Le noir dessein",Fiction
0226763749,An Inquiry into the Nature and Causes of the Wealth of Nations/2 Volumes in 1,Economics
0670856975,Quarantine,Fiction|Literary
0671883402,The Star Trek The Next Generation Companion (Star Trek: The Next Generation),
091597200X,A Conscious Person's Guide to Relationships,Self-Help|General
037382596X,Best Man In Wyoming (Heart Of The West) (Heart of the West),Fiction|Romance
2070324079,Histoire et utopie,Literary Criticism
0373073003,Gabriel'S Angel,Fiction|General
0393018059,Enjoy Old Age: A Program of Self-Management,Old age--Philosophy|Older people--Psychology|Older people|Older people--Life skills guides|Self-management (Psychology)|Activities of Daily Living|Aged--psychology|Aged
0140441905,Effi Briest (Classics S.),"National characteristics, Prussian|National characteristics, Prussian--Fiction|Social life and customs"
068484799X,"INTO THE TWILIGHT, ENDLESSLY GROUSING",American Humor - Peoples & Cultures|Essays and Individual Humorists
038547296X,Next Year in Cuba: A Cubano's Coming-Of-Age in America,U.S. Authors - General & Miscellaneous - Literary Biography|Regional Studies - Southern U.S.|Cuban Americans|Florida - State & Local History|Latino History|U.S. Poets - Literary Biography|Cubans & Cuban Americans - Biography
0451181301,Side Effects,Genetic Engineering|Women Physicians
1560975407,Dicks and Deedees (Love and Rockets),Alternative & Underground Comics
0879754559,Forbidden Fruit: The Ethics of Humanism,Humanistic ethics
067981700X,The Secret of the Ooze: The Storybook Based on the Movie (Teenage Mutant Ninja Turtles II),Children's Fiction|General
2070372995,Bahia De Tous Les Saints,Literary Collections
015600531X,Blue Sky Dream: A Memoir of AMERICAN (AMERI)ca's Fall from Grace,California - Regional Biography|North American Sociology|Aeronautical Engineering - General & Miscellaneous|Economics & Finance|Labor Studies - General & Miscellaneous|Middle C
0140132317,How to Watch TV News,Television broadcasting of news--Social aspects|Television broadcasting of news--Social aspects--United States|Television broadcasting of news--Psychological aspects|Television broadcasting of news--United States--Psychological aspects|Content analysis (Communication)
0312206224,The Year 2000 Killers: Terrorism by Computer,Fiction|Mystery & Detective
1850153906,Crafty Ideas for Presents (Crafty Ideas),Children's Non-Fiction|Crafts & Hobbies
0679734503,Crime and Punishment: A Novel in Six Parts With Epilogue (Vintage Classics),Fiction
0393002098,World History of the Dance (The Norton Library),Dance|History
0394569296,Now Face to Face,Fiction|Action & Adventure
006109515X,Ditch Rider: A Neil Hamel Mystery,Fiction|Mystery & Detective
0864693257,Masculinities in Aotearoa/New Zealand,Masculinity|Masculinity--New Zealand|Men--Psychology|Men--New Zealand--Psychology
045120767X,Scandal,Fiction|Romance
0815412029,The Sir Arthur Conan Doyle Reader: From Sherlock Holmes to Spiritualism,Literary Criticism|General
